1,AAAAA,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
1,_____,0
2,BBBBB,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
2,_____,0
3,CCCCC,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
3,_____,0
4,DDDDD,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
4,_____,0
5,EEEEE,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
5,_____,0
6,FFFFF,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
6,_____,0
7,GGGGG,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
7,_____,0
8,HHHHH,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
8,_____,0
0,IIIII,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
0,_____,0
